,epoch,daz,cc_azi,cc_range,daz_iono,daz_SET,drg_iono_mm,dTECS,drg_SET_mm
52,2021-08-07,0.00524104,0.00265,0.08523,,-0.0012933254199377952,105.19296778350441,7.624034546077293e+16,-99.62966519506773
53,2021-08-13,0.0060851,0.02587,0.07983,,0.00038588514054879806,140.43499435218718,1.017825878458713e+17,61.731669740126186
54,2021-08-19,0.00196323,-0.00537,0.07451,,-0.0028597990286560243,93.9471268119965,6.808973597868998e+16,-18.388053818362927
55,2021-08-25,0.00376733,0.02533,0.16202,,0.0005313113061220348,143.03917554675544,1.0367001129346288e+17,-46.98825394494888
56,2021-08-31,0.00661363,0.0052,0.07912,,-0.002091856868005578,200.5213419132474,1.4533116330729734e+17,73.26201378590565
57,2021-09-06,0.00697606,0.02391,0.20153,,-0.0009186643244070226,223.52649204884008,1.6200452684737965e+17,-116.69166655241465
58,2021-09-12,0.00211103,-0.00024,0.06258,,-0.0012663211389871496,125.55096356548674,9.099514004458618e+16,77.43285700457322
59,2021-09-18,0.00358636,0.0172,0.18021,,-0.0020448030849893285,197.79895901560914,1.4335807121791354e+17,-56.816040996281416
60,2021-09-24,-0.00034464,-0.00981,0.11389,,-0.00013393094866247818,201.0796066475232,1.457357749186681e+17,-46.509717031723994
61,2021-09-30,0.00834163,0.02761,0.17211,,-0.0023777516998911867,404.7674413151841,2.933619062887771e+17,64.07162274737496
62,2021-10-06,0.0118258,0.00595,0.20768,,-0.0004233761126169678,296.3926043369985,2.1481544843546528e+17,-131.61635043835884
63,2021-10-12,-0.000319763,0.01765,0.16926,,-0.0022903345609711512,286.34966443652786,2.0753666142539168e+17,87.47273987521325
64,2021-10-18,-0.00154493,-0.00796,0.06617,,-0.0010110298261079762,136.6054605563843,9.90070698079488e+16,-68.61736529925794
65,2021-10-24,0.00785321,0.02645,0.21841,,-0.0005345030633813518,232.38034276778464,1.684215017811004e+17,-45.95263455386595
66,2021-10-30,0.0037852,-0.00133,0.15421,,-0.0020724895029499454,294.87040760818945,2.1371221114775507e+17,75.86986543784653
